pos,player,age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,onbase_plus_slugging_plus,TB,GIDP,HBP,SH,SF,IBB,year,team
,Non-Pitcher Totals,27.3,162,5876,5236,669,1406,274,30,155,653,104,47,508,1101,.269,.340,.421,.761,114,2205,122,78,18,35,46,2014,PIT
,Non-Pitcher Totals,28.1,162,5945,5336,684,1428,288,27,138,644,98,45,456,1188,.268,.333,.409,.743,104,2184,113,89,24,40,46,2015,PIT
,Non-Pitcher Totals,29.0,162,5940,5253,718,1383,274,32,151,681,110,45,554,1194,.263,.340,.414,.754,101,2174,130,79,18,36,39,2016,PIT
,Non-Pitcher Totals,28.4,162,5813,5180,657,1298,244,36,150,623,67,36,509,1098,.251,.326,.398,.725,91,2064,115,87,8,28,39,2017,PIT
,Non-Pitcher Totals,28.1,161,5751,5162,681,1355,284,38,157,657,70,38,469,1116,.262,.328,.423,.751,105,2186,118,58,7,52,38,2018,PIT
,Non-Pitcher Totals,27.5,162,5917,5389,738,1455,312,37,162,707,64,29,414,1100,.270,.327,.432,.759,98,2327,115,62,17,33,41,2019,PIT
,Non-Pitcher Totals,30.0,162,6176,5608,756,1553,324,26,155,730,106,41,443,1136,.277,.331,.427,.758,113,2394,137,44,20,61,51,2014,DET
,Non-Pitcher Totals,28.5,161,6132,5579,688,1513,289,49,150,658,83,51,454,1241,.271,.329,.421,.750,106,2350,152,41,23,35,36,2015,DET
,Non-Pitcher Totals,30.1,161,6104,5505,749,1474,252,30,211,719,58,29,492,1294,.268,.332,.439,.771,107,2419,135,53,16,38,32,2016,DET
,Non-Pitcher Totals,29.8,162,6128,5534,735,1432,289,35,187,698,65,34,503,1305,.259,.325,.425,.750,98,2352,127,52,11,27,21,2017,DET
,Non-Pitcher Totals,28.0,162,6010,5477,630,1326,284,35,135,597,70,30,428,1330,.242,.301,.381,.682,84,2085,109,52,13,40,18,2018,DET
,Non-Pitcher Totals,27.6,161,6016,5526,580,1329,292,41,149,556,57,20,391,1580,.240,.294,.389,.683,79,2150,108,48,9,42,14,2019,DET
